freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,EUR_OTH,TOTAL,N_GE1,NR,EE	: u	: u	27431 u	22771 u	23370 u	: u	34112 u	32058 u	: u	: u	: u	34594 
A,EUR_OTH,TOTAL,N_GE1,NR,EL	154239 	154679 	163362 	154074 	141481 	133404 	155631 	179901 	78104 	92215 	165846 	156556 
A,EUR_OTH,TOTAL,N_GE1,NR,ES	668630 	706653 	640220 	889712 b	708475 	874934 	906846 	895212 	468398 	576503 	688152 	844819 
A,EUR_OTH,TOTAL,N_GE1,NR,EU27_2020	4348887 e	4290357 e	5358126 	5531358 	5267609 	5190892 	6191842 	6619400 	1929847 	3703152 	5860798 	7597137 e
A,EUR_OTH,TOTAL,N_GE1,NR,FI	: u	: u	: u	: u	: u	: u	: u	72149 u	: u	: u	: u	: u
A,EUR_OTH,TOTAL,N_GE1,NR,FR	232437 	260058 	294458 	315701 	241633 	351953 	415394 	361166 	196898 	292145 	397746 	429607 
A,EUR_OTH,TOTAL,N_GE1,NR,HR	862382 	953411 	757869 	579448 	404724 	531165 	585799 	685827 	164882 	270836 	450594 	628119 
A,EUR_OTH,TOTAL,N_GE1,NR,HU	194112 	181240 	191484 	251693 	219448 	220419 	342542 	374086 	139036 	217650 	304929 	336353 
A,EUR_OTH,TOTAL,N_GE1,NR,IE	21723 u	: u	: u	23071 u	27138 u	22745 u	37837 u	: u	: u	: u	: u	: u
A,EUR_OTH,TOTAL,N_GE1,NR,IT	504449 u	: u	903086 bu	1031521 u	1031765 u	319187 u	888609 	1086757 	: u	332433 	797312 	598900 
A,EUR_OTH,TOTAL,N_GE1,NR,LT	166878 	164470 	182089 	163276 	157471 	166307 	203954 	210050 	37734 	11379 	114650 	112635 
A,EUR_OTH,TOTAL,N_GE1,NR,LU	: u	9071 u	: u	: u	: u	15704 u	18830 u	18886 	7172 	19768 	29713 	29263 
A,EUR_OTH,TOTAL,N_GE1,NR,LV	82342 	58147 u	75868 u	42611 u	43972 u	84870 u	47727 u	82340 u	: u	: u	60883 	63337 
A,EUR_OTH,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	1396742 	1211170 	: 	: 	: 	: 	: 	: 
A,EUR_OTH,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	254510 	253636 	323484 	: 	: 
A,EUR_OTH,TOTAL,N_GE1,NR,MT	1477 u	: u	: u	: u	: u	: u	12343 u	8676 u	: u	: u	6573 	19424 
A,EUR_OTH,TOTAL,N_GE1,NR,NL	: u	76017 u	61938 u	78511 u	78433 u	139973 	126252 	196059 	134012 	45151 	136433 	203947 
A,EUR_OTH,TOTAL,N_GE1,NR,NO	: 	83347 u	74785 u	74217 u	: u	73295 u	72762 u	: 	: 	: u	: 	: 
A,EUR_OTH,TOTAL,N_GE1,NR,PL	142227 u	108630 u	149860 b	209290 	183981 	212802 	232417 	237362 	59431 	81978 	143601 	170703 
A,EUR_OTH,TOTAL,N_GE1,NR,PT	: u	24179 u	17771 u	: u	: u	22528 u	: u	26794 u	: u	: u	15147 	13722 
A,EUR_OTH,TOTAL,N_GE1,NR,RO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,EUR_OTH,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	1299130 	: 	: 	: 	: 	: 
A,EUR_OTH,TOTAL,N_GE1,NR,SE	: 	: 	110753 u	112580 u	: u	296081 u	207172 u	216384 u	: u	: u	: u	: 
A,EUR_OTH,TOTAL,N_GE1,NR,SI	254282 	273124 	239718 	254345 	252827 	275147 	277322 	329143 	41938 	282474 	404916 	734439 
A,EUR_OTH,TOTAL,N_GE1,NR,SK	: u	: u	: u	: u	: u	: u	: u	89695 u	: u	: u	: u	50659 
A,EUR_OTH,TOTAL,N_GE1,NR,UK	239909 	214472 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FI,TOTAL,N_GE1,NR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	36174 	38165 
A,FI,TOTAL,N_GE1,NR,BE	: u	: u	: u	: u	26621 u	: u	: u	: u	: u	: u	: u	33993 
A,FI,TOTAL,N_GE1,NR,BG	: u	: 	: 	: 	: 	: 	: u	: u	: 	: 	: u	: 
A,FI,TOTAL,N_GE1,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,FI,TOTAL,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u
A,FI,TOTAL,N_GE1,NR,CZ	: u	: u	: 	: u	: 	: 	: u	: 	: u	: u	: u	: u
A,FI,TOTAL,N_GE1,NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FI,TOTAL,N_GE1,NR,DK	154839 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,FI,TOTAL,N_GE1,NR,EA20	31658927 	31345525 	29663605 	29813002 	30638518 	30780690 	29915297 	30130240 	23749885 	29692952 	27837776 	25159397 
A,FI,TOTAL,N_GE1,NR,EE	238210 	201534 	230055 	217605 	195168 	164331 	244268 	197983 	122568 	83535 	144205 	193861 
A,FI,TOTAL,N_GE1,NR,EL	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u
A,FI,TOTAL,N_GE1,NR,ES	47128 u	44221 u	: u	: u	: u	: u	58809 u	54436 u	: u	: u	: u	: u
A,FI,TOTAL,N_GE1,NR,EU27_2020	32705353 e	32250563 e	30594433 	30831941 	31525350 	32488321 	31210679 	31782154 	24277265 	30299390 	29052071 	26437633 e
A,FI,TOTAL,N_GE1,NR,FI	30914699 b	30479221 	28844933 	29155853 	29789881 	30162427 	29125765 	29316995 	23341239 	29386551 	27103670 	24014814 
A,FI,TOTAL,N_GE1,NR,FR	: u	: u	: u	: u	: u	101831 u	94778 u	102332 u	: u	: u	: u	162403 
A,FI,TOTAL,N_GE1,NR,HR	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u
A,FI,TOTAL,N_GE1,NR,HU	7811 u	7384 u	7512 u	9911 u	11009 u	11814 u	23657 	26549 	5036 	: u	11828 	16185 
A,FI,TOTAL,N_GE1,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FI,TOTAL,N_GE1,NR,IT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,FI,TOTAL,N_GE1,NR,LT	14836 	18134 	26300 	18365 	17709 	17251 	18226 	20149 	6966 	10753 	20414 	24400 
A,FI,TOTAL,N_GE1,NR,LU	: u	6020 u	: u	: u	: u	: u	: u	: u	: u	: u	7477 	6914 
A,FI,TOTAL,N_GE1,NR,LV	27717 u	: u	: u	: u	: u	: u	: u	56486 u	: u	: u	20217 	30400 
A,FI,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,FI,TOTAL,N_GE1,NR,MT	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,FI,TOTAL,N_GE1,NR,NL	: u	: u	: u	: u	: u	36175 u	43293 u	77764 u	31041 	: u	74949 	107817 
A,FI,TOTAL,N_GE1,NR,NO	: 	118478 u	131855 u	99485 u	98162 u	100642 u	118393 u	: 	: 	: u	: 	: 
A,FI,TOTAL,N_GE1,NR,PL	: u	: u	18451 bu	20385 u	21352 u	22957 	23943 u	24018 u	12458 	13864 	24300 	29455 
A,FI,TOTAL,N_GE1,NR,PT	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FI,TOTAL,N_GE1,NR,RO	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FI,TOTAL,N_GE1,NR,SE	: 	: 	828027 	937337 	809429 	1653306 	1215107 	1584143 	496739 	561176 	1129670 	: 
A,FI,TOTAL,N_GE1,NR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,FI,TOTAL,N_GE1,NR,SK	: u	: u	: u	: 	: 	: u	: u	: u	: 	: u	: u	: 
A,FI,TOTAL,N_GE1,NR,UK	100866 	149472 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	960690 	: 	1033579 	291788 	: 	: 	: 
A,FOR,TOTAL,N_GE1,NR,AT	10960345 	10671412 	10994223 	10627682 	11534238 	11490865 	11042921 	11901742 	3964500 	7516079 	14040577 	16080860 
A,FOR,TOTAL,N_GE1,NR,BE	9575837 	10676459 	10777700 	10711046 	13102132 	12140619 b	13098410 	14191324 	5847789 	7240150 	13498234 	14536552 
A,FOR,TOTAL,N_GE1,NR,BG	469236 b	552451 	603672 	531182 	600214 	758740 	940329 	1128917 	193971 	187423 	879455 	1092893 
A,FOR,TOTAL,N_GE1,NR,CH	12098147 	12402792 	12517583 	13600761 	13856757 	15318158 	15284798 	13442681 	6118105 	6296083 	11275095 	: 
A,FOR,TOTAL,N_GE1,NR,CY	1175022 b	1101800 	1197614 	1108898 	1260505 	1405804 	1434756 	1564822 	470613 	471119 	1234615 	1674725 
A,FOR,TOTAL,N_GE1,NR,CZ	5977897 	5781484 	5650580 	5855610 	6026617 	6775157 	7390006 	7346477 	2399036 	3264037 	6826441 	7831530 
A,FOR,TOTAL,N_GE1,NR,DE	82728747 	87458553 	83008008 	83737354 	90965601 	92402056 	108541530 	99532966 	36866570 	48667340 	86623140 	102057649 
A,FOR,TOTAL,N_GE1,NR,DK	7757264 	8201717 b	8444775 	8919631 	8033413 	7630465 	6952921 	10803454 	3298581 	3091776 	6043213 	: 
A,FOR,TOTAL,N_GE1,NR,EA20	202787061 	203898181 	203741058 	201970498 	214276352 	227619803 	254031234 	251221152 	84893613 	111614269 	220634102 	257100170 
A,FOR,TOTAL,N_GE1,NR,EE	1146808 	1165822 	1425510 	1249933 	1339274 	1279444 	2068465 	1701519 	563781 	574519 	1119496 	1512784 
A,FOR,TOTAL,N_GE1,NR,EL	580378 	670578 	712481 	703885 	685775 	717643 	874327 	992928 	320253 	379680 	939366 	1024227 
A,FOR,TOTAL,N_GE1,NR,ES	11082129 	9976819 	10313354 	12488197 b	13272399 	14351000 	16352217 	17125599 	4314476 	6031754 	13588870 	15942325 
A,FOR,TOTAL,N_GE1,NR,EU27_2020	240534227 e	242764576 e	243577913 	243342231 	256270370 	283537629 	309489659 	311436542 	104199798 	134514021 	268385073 	309854020 e
A,FOR,TOTAL,N_GE1,NR,FI	9077182 b	8603583 	8760224 	8917249 	9162665 	9371136 	9475932 	9403186 	2329503 	1790986 	6190196 	7287752 
A,FOR,TOTAL,N_GE1,NR,FR	24645476 	25419906 	27331432 	23790486 	23537122 	28410849 	29659180 	29626325 	11221335 	12678578 	26790132 	31921612 
A,FOR,TOTAL,N_GE1,NR,HR	2680804 	2926509 	2763254 	2577589 	1614859 	1923357 	2057870 	2254930 	493119 	638918 	1351328 	2061317 
A,FOR,TOTAL,N_GE1,NR,HU	4050879 	4138246 	4733459 	5453200 	6099956 	6491791 	7315001 	7818471 	2606582 	2866070 	5516318 	6251811 
A,FOR,TOTAL,N_GE1,NR,IE	5575463 	5581767 	5642009 	5962501 	6465858 	6981235 	7343516 	8008736 	2043861 	2006022 	7460294 	9203601 
A,FOR,TOTAL,N_GE1,NR,IT	14199028 	11197028 	11476103 b	10092585 	10448557 	11374814 	14336155 	14743936 	3138447 	4037805 	9330779 	9664342 
A,FOR,TOTAL,N_GE1,NR,LT	1707491 	1764146 	1788616 	1859929 	1952796 	2031791 	2244326 	2347280 	681903 	830176 	1919427 	2152952 
A,FOR,TOTAL,N_GE1,NR,LU	1580124 	1624348 	1815108 	1701667 	1588159 	2355477 	2509460 	2547946 	1459657 	1813913 	2818099 	3083455 
A,FOR,TOTAL,N_GE1,NR,LV	1397501 	1246149 	1362106 	1241742 	1249531 	1265421 	1368432 	1479803 	431549 	512117 	1303207 	1705072 
A,FOR,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	657008 	546293 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	377043 	82885 	260883 	: 	: 
A,FOR,TOTAL,N_GE1,NR,MT	296061 	336233 	362440 b	396218 	388781 	546302 	628979 	671717 	208969 	282766 	568160 	766816 
A,FOR,TOTAL,N_GE1,NR,NL	17854096 b	17407136 	17501581 	17535163 	18152184 	20762524 	20981160 	22045219 	7666687 	11600561 	23145692 	25004388 
A,FOR,TOTAL,N_GE1,NR,NO	: 	7683544 	9181607 	8720412 	8101465 	8158780 	8085994 	: 	: 	2033000 	: 	: 
A,FOR,TOTAL,N_GE1,NR,PL	9269583 	9971871 	10242798 b	10906350 	11286503 	11958127 	12746829 	13544558 	6187062 	6812721 	11741604 	13637177 
A,FOR,TOTAL,N_GE1,NR,PT	1361005 	1329316 	1460477 	1636356 	1607577 	1927185 	2163849 	2696641 	688826 	856518 	2248981 	2809140 
A,FOR,TOTAL,N_GE1,NR,RO	773039 	960271 	1028252 	1016647 	1057084 	1071104 	1258095 	1573973 	396351 	910903 	1475106 	1408972 
A,FOR,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	846435 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,NR,SE	: 	: 	9133320 	8689114 	8890230 	21232443 	18855245 	17999540 	4224602 	5766822 	15268834 	: 
A,FOR,TOTAL,N_GE1,NR,SI	2474413 	2611650 	2642419 	2855015 	2853252 	3012579 	3187701 	3170206 	1137832 	2122974 	3160974 	4239917 
A,FOR,TOTAL,N_GE1,NR,SK	2689150 	2128968 b	2406400 	2777004 	3095087 	3869703 	4662046 	5214323 	1043943 	1562293 	3302534 	4370683 
A,FOR,TOTAL,N_GE1,NR,UK	50710620 	52277882 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FR,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	12152 u	: 	10879 u	: u	: 	: 	: 
A,FR,TOTAL,N_GE1,NR,AT	369961 	365121 	402309 	388542 	343669 	382223 	233394 	350406 	94044 	148958 	376538 	377917 
A,FR,TOTAL,N_GE1,NR,BE	3049870 	3418888 	3624666 	3328372 	4022346 	3494603 b	3936754 	3888775 	2205106 	2690413 	4135505 	4434410 
A,FR,TOTAL,N_GE1,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FR,TOTAL,N_GE1,NR,CH	2022656 	1975523 	1859456 	1977910 	1725974 	2920124 	2118637 	1623013 	1079562 	904268 	1533160 	: 
A,FR,TOTAL,N_GE1,NR,CY	23142 b	17985 u	26184 u	19912 u	21003 u	: u	: u	: u	: u	: u	34094 	59290 
A,FR,TOTAL,N_GE1,NR,CZ	247274 	275138 	159522 u	210434 	184115 u	172041 u	147668 u	146165 u	: u	: u	152882 	188093 
A,FR,TOTAL,N_GE1,NR,DE	5525894 	5222570 	5472093 	4837612 	5158745 	6231466 	6143331 	6467657 	2653406 	3383096 	6074975 	6997373 
A,FR,TOTAL,N_GE1,NR,DK	433317 	479644 b	382870 	498814 	408504 	291916 	245467 	472685 	: u	141543 	351735 	: 
A,FR,TOTAL,N_GE1,NR,EA20	217252048 	215335645 	215842859 	190792893 	189234977 	210185367 	209078492 	205772650 	159923437 	198424935 	221750344 	228197974 
A,FR,TOTAL,N_GE1,NR,EE	40460 u	28987 u	28222 u	19383 u	27092 u	: u	39480 u	42621 u	: u	: u	32194 	51347 
A,FR,TOTAL,N_GE1,NR,EL	23143 u	37349 	23015 u	33617 	29645 u	38698 	30213 	35978 u	: u	: u	53408 	60642 
A,FR,TOTAL,N_GE1,NR,ES	2064921 	1608141 	1788883 	1854843 b	2146534 	2464804 	2417491 	2560187 	690973 	1101690 	2508303 	2350892 
A,FR,TOTAL,N_GE1,NR,EU27_2020	218927275 e	217137340 e	217341347 	192412621 	190697192 	212099803 	210884172 	207645643 	160484501 	199052080 	223837259 	230386909 e
A,FR,TOTAL,N_GE1,NR,FI	233027 b	256594 	223909 	243682 	161770 u	187500 u	211445 	224386 	: u	: u	173919 	204118 
A,FR,TOTAL,N_GE1,NR,FR	200379660 	199530099 	198929164 	175366181 	172473304 	192363960 	190570732 	186941827 	152200371 	187657385 	202475552 	207536025 
A,FR,TOTAL,N_GE1,NR,HR	74750 u	138708 u	72095 u	95778 u	34825 u	46799 u	45261 u	50320 u	: u	: u	28244 	42500 
A,FR,TOTAL,N_GE1,NR,HU	139561 	141166 	133295 	178416 	136068 	159199 	188728 	189351 	48608 	55010 	208178 	163557 
A,FR,TOTAL,N_GE1,NR,IE	465570 	420372 	451072 	459817 	489173 	421355 	498948 	483302 	108564 	138052 	465900 	704364 
A,FR,TOTAL,N_GE1,NR,IT	2046409 	1250307 	1875943 b	1165483 	1382404 	1268646 	1635883 	1313819 	451605 	504011 	1072519 	1039450 
A,FR,TOTAL,N_GE1,NR,LT	31868 	21733 	31472 	49059 	40340 	40149 	34616 	29751 	11956 	12647 	28472 	30909 
A,FR,TOTAL,N_GE1,NR,LU	362526 	384149 	375748 	348735 	286107 	465797 	492356 	493697 	379502 	464317 	649024 	633412 
A,FR,TOTAL,N_GE1,NR,LV	: u	: u	: u	55529 u	: u	: u	: u	: u	: 	: u	30902 	34840 
A,FR,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,FR,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,FR,TOTAL,N_GE1,NR,MT	15975 	15644 	20033 b	22663 	18182 	25874 	25219 	29255 	10690 	11567 	29349 	47572 
A,FR,TOTAL,N_GE1,NR,NL	2182762 b	2265138 	2137023 	2159056 	2232914 	2321671 	2266079 	2309906 	933825 	2090135 	3250280 	3198325 
A,FR,TOTAL,N_GE1,NR,NO	: 	279124 	398069 	312439 	311320 	267042 	243121 	: 	: 	: u	: 	: 
A,FR,TOTAL,N_GE1,NR,PL	393543 	472752 	375893 b	356942 	367657 	365041 	365847 	368685 	170463 	210406 	400969 	464644 
A,FR,TOTAL,N_GE1,NR,PT	193635 	187636 	218622 	238554 	225042 	220815 	303953 	321701 	107040 	90076 	257512 	281803 
A,FR,TOTAL,N_GE1,NR,RO	: u	: u	44246 u	33698 u	: u	31917 u	: u	32149 u	: u	: u	33817 	: u
A,FR,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,FR,TOTAL,N_GE1,NR,SE	: 	: 	389089 	328775 	342524 	873877 	815139 	644193 	202390 	204050 	924044 	: 
A,FR,TOTAL,N_GE1,NR,SI	43178 u	50505 	48159 u	41472 u	53931 u	36837 u	70491 u	53260 u	: u	18786 	32814 	35267 
A,FR,TOTAL,N_GE1,NR,SK	: u	: u	: u	: u	: u	: u	83591 u	: u	: u	: u	: u	77520 
A,FR,TOTAL,N_GE1,NR,UK	7251256 	7303779 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HR,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HR,TOTAL,N_GE1,NR,AT	1124665 	985410 	1085234 	964500 	1416323 	1413303 	1374908 	1000274 	237151 	844660 	1548699 	1809665 
A,HR,TOTAL,N_GE1,NR,BE	63888 u	99363 	60517 u	102071 	110703 	79689 b	114604 	127107 	: u	75292 	115945 	103740 
A,HR,TOTAL,N_GE1,NR,BG	: 	: 	: 	: u	: u	: u	: u	: u	: 	: 	: 	: u
A,HR,TOTAL,N_GE1,NR,CH	: u	: u	119274 u	155947 u	143408 u	196894 u	221496 u	177040 u	: u	: u	171620 	: 
A,HR,TOTAL,N_GE1,NR,CY	: u	: u	: 	: u	: u	: 	: u	: u	: 	: 	: u	: u
A,HR,TOTAL,N_GE1,NR,CZ	810769 	816292 	794512 	728262 	848956 	870651 	827685 	761154 	411856 	633973 	858459 	823696 
A,HR,TOTAL,N_GE1,NR,DE	2038609 	1962039 	2418956 	1924939 	1503485 	2243309 	2086331 	1942240 	978863 	2704248 	3334901 	2821779 
A,HR,TOTAL,N_GE1,NR,DK	95621 u	88874 bu	74222 u	77268 u	: u	85608 u	: u	115672 u	: u	: u	: u	: 
A,HR,TOTAL,N_GE1,NR,EA20	12464598 	12403846 	11946976 	10358276 	9274240 	10563051 	10539577 	10468298 	4977218 	9033753 	11651445 	11902367 
A,HR,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HR,TOTAL,N_GE1,NR,EL	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	22575 
A,HR,TOTAL,N_GE1,NR,ES	49267 	47739 u	64539 	49172 bu	76190 u	75040 u	122526 u	78624 u	: u	: u	71356 	64135 
A,HR,TOTAL,N_GE1,NR,EU27_2020	14031032 e	14204613 e	13728694 	12187691 	11257503 	12780640 	13038484 	12856947 	6058705 	10507853 	13654286 	13901303 e
A,HR,TOTAL,N_GE1,NR,FI	: u	67345 u	: u	: u	78784 u	120555 u	155180 u	139795 u	: u	: u	: u	67650 
A,HR,TOTAL,N_GE1,NR,FR	250427 	262604 	295675 	218675 	219093 	309723 	325985 	290100 	: u	155112 	169508 	270141 
A,HR,TOTAL,N_GE1,NR,HR	6055907 	6224881 	5410179 	4039589 	2926409 	2976420 	3197253 	3708275 	2510249 	3278070 	3148238 	3629652 
A,HR,TOTAL,N_GE1,NR,HU	236785 	192316 	238435 	261599 	312940 	303831 	456985 	409299 	182634 	231216 	282747 	254906 
A,HR,TOTAL,N_GE1,NR,IE	12484 u	36573 u	45602 u	28563 u	39198 u	37753 u	76469 u	93317 	10337 	: u	95142 	104544 
A,HR,TOTAL,N_GE1,NR,IT	859127 	552443 	361654 bu	737889 u	516458 u	954899 	583666 u	718898 	141873 	: u	616134 	254245 
A,HR,TOTAL,N_GE1,NR,LT	11042 	12497 u	14853 u	10105 u	10574 u	13261 u	14513 u	14387 u	: u	: u	: u	6444 
A,HR,TOTAL,N_GE1,NR,LU	8716 u	7900 u	9141 u	7592 u	9898 u	10089 u	17250 u	16587 u	: u	10481 	23441 	19016 
A,HR,TOTAL,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,HR,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	35119 u	: u	: 	: 	: 	: 	: 	: 
A,HR,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	13471 u	: 	: u	: 	: 
A,HR,TOTAL,N_GE1,NR,MT	1812 u	2219 u	: u	: u	: u	: u	: u	: u	: u	: u	6154 	7113 
A,HR,TOTAL,N_GE1,NR,NL	158417 b	141018 	192193 	175650 	139726 	190723 	229744 	267659 	: u	112965 	288739 	224168 
A,HR,TOTAL,N_GE1,NR,NO	: 	121268 u	154303 u	127103 u	116750 u	131553 u	125196 u	: 	: 	: u	: 	: 
A,HR,TOTAL,N_GE1,NR,PL	312845 	599002 	570323 b	632334 	661303 	683762 	703409 	737164 	431704 	491800 	626401 	670742 
A,HR,TOTAL,N_GE1,NR,PT	: u	: u	: u	: u	: u	: u	20981 u	15570 u	: 	: u	: u	14727 
A,HR,TOTAL,N_GE1,NR,RO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,HR,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HR,TOTAL,N_GE1,NR,SE	: 	: 	100736 u	120510 u	88168 u	252905 	428128 u	356663 	: u	: u	: u	: 
A,HR,TOTAL,N_GE1,NR,SI	1351357 	1448964 	1494481 	1602655 	1660200 	1680257 	1731687 	1571517 	817038 	1274453 	1721365 	2004390 
A,HR,TOTAL,N_GE1,NR,SK	390686 	510214 b	383802 	401090 	521221 	410517 	439948 	438832 	121643 	314296 	358637 	429631 
A,HR,TOTAL,N_GE1,NR,UK	245985 	347357 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HU,TOTAL,N_GE1,NR,AT	404967 	335283 	330523 	345433 	335355 	402896 	343321 	442041 	201655 	238320 	641542 	760868 
A,HU,TOTAL,N_GE1,NR,BE	78692 u	68978 	41246 u	67953 	: u	116220 b	110249 	120185 	: u	40256 	105371 	52124 
A,HU,TOTAL,N_GE1,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u
A,HU,TOTAL,N_GE1,NR,CH	: u	: u	: u	120788 u	: u	: u	: u	: u	: u	: u	: u	: 
A,HU,TOTAL,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	35754 
A,HU,TOTAL,N_GE1,NR,CZ	213518 	175087 	291357 	292275 	187756 	249584 	318939 	249740 	: u	181670 	284234 	357162 
A,HU,TOTAL,N_GE1,NR,DE	1157818 u	1199237 u	529065 u	1098884 u	1158709 u	728394 u	889534 u	1385049 u	: u	: u	567432 	631772 
A,HU,TOTAL,N_GE1,NR,DK	90424 u	: u	: u	: u	84995 u	89281 u	: u	110929 u	: u	: u	: u	: 
A,HU,TOTAL,N_GE1,NR,EA20	2666427 	2520965 	1862057 	2462494 	2467439 	2656975 	2796731 	3301092 	943284 	1070930 	2339880 	2852230 
A,HU,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HU,TOTAL,N_GE1,NR,EL	: u	: u	: u	: u	14284 u	9903 u	23715 u	17679 u	: u	: u	23766 	18643 
A,HU,TOTAL,N_GE1,NR,ES	61196 u	69239 u	57310 u	73487 bu	83394 u	123007 	150130 	192209 	: u	: u	87499 	182213 
A,HU,TOTAL,N_GE1,NR,EU27_2020	17837738 e	15044587 e	15152157 	15924309 	15256859 	15646965 	15734216 	16282957 	8715975 	9927273 	13776716 	14606891 e
A,HU,TOTAL,N_GE1,NR,FI	67014 bu	73884 u	104822 u	88420 u	: u	: u	102624 u	98238 u	: u	: u	: u	: u
A,HU,TOTAL,N_GE1,NR,FR	91749 u	136824 u	137756 u	168219 u	139895 u	191660 u	194442 	203956 	: u	: u	101373 	157523 
A,HU,TOTAL,N_GE1,NR,HR	63473 u	104123 u	91583 	80345 u	42023 u	88486 	78477 	74696 	: u	: u	93143 	74510 
A,HU,TOTAL,N_GE1,NR,HU	14443023 	11911423 	12583784 	12627043 	11999436 	12116200 	11914741 	11983819 	7496190 	8435129 	10612325 	10862888 
A,HU,TOTAL,N_GE1,NR,IE	: u	23779 u	: u	30721 u	33099 u	47303 u	47228 u	55918 u	9995 	: u	: u	: u
A,HU,TOTAL,N_GE1,NR,IT	: u	217913 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HU,TOTAL,N_GE1,NR,LT	4540 u	: u	5654 u	: u	: u	: u	5854 u	: u	: u	: u	: u	: u
A,HU,TOTAL,N_GE1,NR,LU	6329 u	: u	7896 u	: u	: u	: u	14906 u	17137 u	: u	8726 	14581 	10448 
A,HU,TOTAL,N_GE1,NR,LV	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u
A,HU,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,HU,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,HU,TOTAL,N_GE1,NR,MT	1796 u	2976 u	: u	: u	6424 u	6143 u	7086 u	11318 u	: u	: u	5484 	12862 
A,HU,TOTAL,N_GE1,NR,NL	155897 b	117194 u	135661 u	105923 u	180226 	190371 	212242 	120632 	: u	91094 	132997 	156403 
